summoner_id,Rank,Division,puuid
Ur19TS8PkiQ4RMxzmhGQ0br52VNZ4w33ncU5Pe_WVhV_B_321px6lpCZwQ,CHALLENGER,,wuV7iHNFKUbf747akqoaitbLUI8E11uMdR86kVPLQ9hY8eryS4wYEDmNINNSt5308Bh5LWnWVadO7w
uQmj654JmvqLTYdK4ahh5yjb3_vZyCtOqWiLP-4OclSApDQL3_XV1rqHOA,CHALLENGER,,WVflgLD6YpsH4xGA3IusAKLu5OQICxT5UUtQq1zlK3zp9D22gJhsaBaOnnUNvfhQ1V6l84j8xUGReA
v1FEHZq1av_qTQMim5WlLOISZok9wmr1sRKWoC5K3wM01C6-hQcKgXGl9g,CHALLENGER,,CaKlKOg0mLpbeb9BjlRFi-6PsmP9J6pa1yOUslyhmFfInFyUlTC02ZK5n_pALYv2ZV7yXdIVUx7x9A
pyfqQxM5pfmYVuQRFCBmhAJmtQ0gUmrrIq1-lbaJGOmHFi0klZHKHL2ciQ,CHALLENGER,,MaKBRpFSJpnfvBn4zQzIfq_la4pIfosBm81tfTBQ6QtvrtF6FLw2E22ClrXhUHEBgjFThVHJ1VuBAw
jqrQTMxdSl4WxB6_rp4n-YqmZVknp7sAJOEnToJhcQboqWLkt3YgQz6kMQ,CHALLENGER,,uVzpRBGMBAHPCt3XqaGLQ_GN0o9HD4r308zbKB5g67zreurRi8HyUzDgx-MqYNLdXpyMDjWJpYbiKg
R0Ot1GNlyMO8S8Gt6n6h0MfOnmBnq5AEc58kLxdxrxjU0vaoR7lLhrtnBg,CHALLENGER,,3AjNSP5lXNlDDjcNqhqCJ4s5TrVXZG79NcUKFKpAmC42_yp6KgstCkxXhILjQtoDpDD8LwHXa2YXxg
KK5vYxap71Y7q1qYm36iRoK_G-rwuf87Tu_mtflgAZ5i8yfBHC5rtPgsEg,CHALLENGER,,QTTrKBJjWwDymbytR2j4qD-6U9aUyhlJDcy_DIvETeGmfVrkTM4IGDT9RBy-ZijK86Go0eiKhsugGA
zo8BqE6iVAT7KkXpBAs9PTmN6gDm_QB1IZgVKAr866dhGwWUVMtiZZBWcQ,CHALLENGER,,MYV9B3xTP7fse1C02ADSziPH0UqP70PSc5Hy6O3xOH9b6LzzxrKE1FwJ-7Ull_X7bWU6zYDGUXH_5w
jZjVhRffOkXNRbd6ve6wl1gTqPePYH8yzFfUm7TohcnZDfDl-MNRT3HRDg,CHALLENGER,,k3TJPKL1Dxzy0amLPsQ-GstY38eAt9gMUba8_IgqkoUyA92P9rrnoY0-TAy2NMLbHNXHhNs9ArYp1g
8YMBr2yZlbMIoCSUWaGP2Zo3Oi0mbQhbL8V7unMXODxOG7o4hVq2CMiplQ,CHALLENGER,,ZUtlUkX0q9OdpY4pY0TplLO5p5T0D1y1BHFvzSenG0s6iwJEAFcSIwUMdBAZGnmY9CFukTMGr1W6-A
B6nrHBP4PTPIP_g8hd3wZMDYe3Btuv7JdzWgT_FzljnDr2qETCR6xnV3DQ,CHALLENGER,,2QFYqoqmlyh8Pi0Nz6tAnWUfMXgssYGJABfBitOsT-2lULxshMczcxGvDD9M_t40JwBh7Tme5Va46w
OCHRIU6DHHmWzLLskAaySWWKV4AjNW8iYWBjXM2gkJMhrj2s9eXj_rdLSA,CHALLENGER,,pRaMsN-Uzw8BgrjB3M7yx3nwVVUiN-D0twiODDoBZZ9EUezham4nLePHlcUh20zRcxtw9J_Bv1Nawg
GFzqX1bCx9brmGl_nqOY-YCdx5lOwU0mHrRGutNsd4GB3DCzwWJ3tRPbWQ,CHALLENGER,,jKy8nV4F6Tou0ZEev8fRhuWrEMzT25ORHaNRt6gizr5dfdggwUnX7i709maLz6lgLGI21tucNELnrg
yAJJPHdFvrUw-IgMZPSZU3ical3lYVJhtWDKJQ6SuDmpxtP5-LJVw7hHdw,CHALLENGER,,wHXnv4s0Nw8WGWvAto5AsLi0OdIN2-W3ZrtZO5Nb3CA9sCPA5Ld9Ko4OvF2GsEvBAc4b2pXHvGhy4g
MWTRrQtSQvyiyV8y0EmdvoM5XbUVUUwineQytAQeGp9WLHIHVevtizYfig,CHALLENGER,,_xdy2Q8h7SS1EXogd7M2s8pw5BHuBfS2R1syTNtpX0f8V9ANgXcWBZ_LgVIN1l5wyN6Pt0qbW5AWAg
C8ho2c8CQRJweo0-AeQ8hl28EVqra7JTTYxlem9bueznTLh2U-Wfgd8Mzg,CHALLENGER,,FVVUsg_mpcKRYDc5Jpsq-nG6Astn29du83PdhKhy3genDgHJVhkhYQ5zT_hel-Hy7p6aitmDzgeiBA
Pqw4Eyiiqbi7awhr83fJX5A8nUKFonv9smXVIm21xWmzowN3O6V1lsFs8g,CHALLENGER,,xIL1SXSNxoXCjMl5Sy8jsFDCigZU4lZRvHQDII0PdpBZt-Wpg94L-B9LS2fcxykYTRcoajULIGeCdQ
qPyglIP6CDhWZH07R3Uy7MWrqJt5jCXvJj7UTSVcrb2OK2EKbIPCyr17Sg,CHALLENGER,,yKgyUdlKQPA-3PyhWt2vMLBwDdI7BFEEtGp6N-lv352_lqYOG9XnkShqMwxZAfymfc1BB5Cs1jGTBA
ZfcwR2GC_s8XFj-h9j28pSubzkVtQ0qH7LHXPrcxuuLofwDLTUYea1l-kA,CHALLENGER,,yxYtdFPC1TcvHqRzh1JdpDsvmBVIthfkaVIOKy9mZRCYsZZZPNSSkP5TQ5wSKoO45ZBTyH7FYh4XWQ
dAKjmZM8JgzFvV3U-tHa2_CjCKS4z0Phk7LgaqGOfxMM-zGAdgiqzLw65A,CHALLENGER,,_4AIsU4MVcYY92nFUhxk4omv7S0MjXOed1ZajB2OmjPlkReVmHfMd-Hi2QB8wk9P_R8pY4VukOcC6w
JPxTahl8hNSc6-1c56XpsjHqnXsMMve2iZ-ClWIZO0c8RbHOW-T_o6ej9w,CHALLENGER,,GobhVQ8gpunDOXV7YB7GyqkQMhbNQKttUhW2dDFuBgv7Bsgjehv1AhQqfO0PT9kl6w-RK2Mh59N3CA
NXLhJH5heGdpA_wv1IiznhZgR_mHPyYJIkI3F_AQ7RIgnkBTTjZ0SJJjoQ,CHALLENGER,,M70j0U-c8bvQ6LHiCqLLMROwaoBzb6EMVHmAU-Kgmx7FHe3NBm8ynIzc4xJDPmaw_upRUH8S7xFvtg
DlzA4gou5HLBKXLIbqbp9UtFHwHrmBaPN--Ajv380nNnY-yqPQ6Q57MOdg,CHALLENGER,,P11boPMBdAX9cxbdpiOqlvHbnUaYkfz__taeLm7BJP0YBqyPg_qxlhRKreW0jk8mpWtCJ8bA5l_Pjw
tNkFaBswRjaRK6qP8TnSZu9Z3QrEd-pxKm8yQP2rD1JOWVyB0ki_Wd3F6w,CHALLENGER,,exiQqErTOg2MPJlSmTMQULSiP3_ECkbncV2rcJR0eePIfY0jBA4aAUwHy1Y9ncqQ_dc32AIAgtf6aw
ObkXzZcWoerMa1wajeUxXXjbLKVWeKs5zsyLUlmRR4x1nAvn5UKmlCkN1w,CHALLENGER,,DJedxb1Gc8gVJEejNPp_T2NvIShgBWLyyt0UD4VQaSjLPD2N3BDHVpqnj2HtME6ZiFtRsVOQ20LQEA
-Z8n-zSPjhJbNYKVcWDNH6M2gcEaMY62ffDGIP9zwhClMSr3Vp_TeLlz7w,CHALLENGER,,Gc-Z9FLV20-mTohjLQl2zkSKKZ4pX8ABPhD27LmUWVmk7LNixOS_VH_vu6uv2ji7cKveKzuUjTFNUQ
TA6IoFJWzv-XomsUpCDqRfmCfVTp6L5hO36stlNDbCIe5Mi7yzSTp5YjiQ,CHALLENGER,,PnZLFsAAxBLM2qyxnzYmLacmKQ8yIoLWNMsHN06OGqG3HCwJWtNNNh4arvEoLVLVPcJXnurCV0gZyA
3156GleME66PzTyxL3R84YgCEcDgIV69FFc3jSteEnkxFFjLqej4HBLzow,CHALLENGER,,qpRD0CP2xNJSMP7unpJ5f3IbxoosM6iSAGw3C_O1pexwwQeHDukmvbHfPpjL6QJqTiWxV2Ai5QBEDA
CnnyTm5U9qfSjKm4O-SJwx5Qv8m8hAW66ZtubjNuNMKfNWjSR8VOytIIag,CHALLENGER,,beJ4RqRv1lU36G4uDrrV-0WhrE5oeSdDsYAU7h_x9sKScq3krRJnnqwIQaGkncCyOB_d1jQ9B4VBXA
W4_Olz9_Ka7D5GzczveNWVIzpuLTapipsp9CYHSUmc0yAZwRSwkHWE_VKA,CHALLENGER,,fIe-P5tc8uTm_PyBO9sYvNTk_5AwNyElpr6ZSYbY9q0wHa7pr33Liw9qZJQuRZiVEdi558rJRFb23g
Q7EHnBrO4Wxga5x7_RHUCR0W9k3ISYkyfosU0mgzZOhZuDQP1XHuz79jxQ,CHALLENGER,,-LoCZYu1uHYyretIhBqmo-SF1AkgmH8IBrpkXAiec8NXEmRv3v6Qv3LUcP-OoWB6Ew8PHuXmakjrfA
ragihzeOhfEbzqPHLEl50svJi8nv5230PTz7Ly2fKHaD9YiIXSNlys8dMA,CHALLENGER,,qh-N2nGjOaAiYyVE5tFnCkgceqoZYQXdi7ZniOlw6M6X682yZP94-ZRgwQX-zoXYIIFBPZnJ_ZIxGw
hjeN1SCQU31xLuNoCBz1ggyNO7hYpCv-TiMK5FAFlvcZzkhEXyLltsLvdA,CHALLENGER,,y_gto7M7EHwTL39SKoNQoYt4yfegtRS10g5k_o7rUAPvJRSruC_QLb1EQ84EHlhXwtDk9uSxcJS3zA
n05X7CGu-wYGNQUF6JtPFVQoHL79g5g6sYbOy28EVzfCYLl3EhEGPihZuQ,CHALLENGER,,p1w2ozJ4jIOhpWeUrcuJ2qUW2ozagUVaf1G42yhxfKNcnjq6nq-ghPz4cWvRnEHHvDDI0g2JctYI9Q
jBk7B0qd5satDOr0GnzCU1gnVv0VAQkY2ovSDLG6g1gi_tEdsyoAz77NUA,CHALLENGER,,EOihhWF17fM80HLHd7xBUj4-QzTAdKpmSelYwuCCxPRJLeCAQhBAyKStqsvqkZrMOLB5Grn1k45C7Q
aAUdcdIuxlN2mcXbCPsqG0UZjwiesAZCYQdCv_4Ma1DoN7Ib3kOloiuNmA,CHALLENGER,,rWvowkW8ZPB9AnHL5piuz1JBybgcfbrYWDebFv_IxxQ9oEvt5dhNoWvQVsOwFrnh6Io-u8KaafWDFg
HEfKlEk4PQCTgC9ZXY_A6YDrzRRWyH5y5IIWxtVIEw4cB31FwNYQaZr8IA,CHALLENGER,,SayK4cZKW93WjNXd972JmMHcVxpj0lyTtLmfP6jc8ACEVA5JdXwT3Vj2zL-p6Wa8s39HYlD3X4DWyg
SS6MSc0yt7nZlG0Y17cd_97qmqzJE1a8I6dHhFj6FxTW6oToAYgbDa-nkQ,CHALLENGER,,s3epVhQFiqgcO1R3QyCnt5-2C3sjvM3FXUzIowKa1pzm8W3WhqFFVgZm2AIKBmuQyMHMklN1wxAtog
iAzaSze__5Ni_8JTTD31VN5mBlkzLHgfjpKVA8Ab_TpH3wpf_8B6b1IdKw,CHALLENGER,,9KhKDEii6ILcsqHqQ8XmqpHvkfc-lxp9vWl3Rx4yMi-GKpjH5NJYkRZ43dbEtMUV9Y4xGJEDt9UH-A
CM8p9GVq3rMiIil57thRK8QoiH9mwQLlfEbRUDCEpfo32Hz3KP69f0E3Mg,CHALLENGER,,IRRNA9Z_4gpGHLYdGzPsxhuktjwTBAVT8dg0RNb7VEEkcsX9mErggDuM7L8fU-xBhAJbjzbcAS9sBw
i2YFlvQn_4imfufK07KaqF14f-_femQRSEuK4Ciem-GrubWDZQWbS7omZg,GRANDMASTER,,qBaTxw5DylOdq6KJyRFvrtSyrYFrcsJGEmClI8DUyz_ckw9lnkUyKJUJT7sqO-elUuqOB2vwhqwu_g
APNJjeg5OHit_8ibcnRBTquFz0Kk93cUNKaFZKcXQohrNAOoFm7o83-yqQ,GRANDMASTER,,682qrut4wFlLUfC2bu1NvhisM7BqMDfmnr9ehU9SvBZw4PZVNX6XX3YdS5-yzCPUnbUGmuhxmXkqdg
PijHvdTZyaTYTzo22jqUQNDfF8hzF_NpMthKLr4ovgoL85BtmPFQYF014w,GRANDMASTER,,B3IgjUgqeC4IE_f8nMYJOkFwxIZlGLQtfzepuhJ1J95T85dAdMHg3muJucV3AsZRnpMuR54fhKPHKA
o5hsuFlAIzYemnY3TeBehaTszMC8R84J5swKPh4ZhTnC_i68YdaZBahniw,GRANDMASTER,,tmnpRMKDLiCs_buwQIu6xMZ31Pq7xV8Qc94Gom-1wUKLRPmwXfaPL1hLrp8asT27S9jsLK8gAtF6SA
KzCbMM7ssme61DhD10_LmcckI5FfHisO3N4LjhcmPwsOyT1D2Wiktj-DFQ,GRANDMASTER,,Pu5P0qs1rSnDA-9u6ARScQfvUuPZaPHbRlvxkDqBVGYAvZX7x6jQKtPw5hovQmQPUl7TWpp5BUXqhQ
PfkPBYyQfd4Sm9NSl1-8153qLG1H-GWL7kPSLNEk7L4pNpogdb_dzYlIag,GRANDMASTER,,BcLQ-y_jor_DGTrcTAPYez7KYeBjXhi_X6Qu-1BrvoI4Z__DnsfbwlZ9LtuhIgmoIjVg5bK1QsH5Mg
RYnLwEUG0EKSQhekXRBZDNGSvlgvOSxikClCZAaWPsTv3O-Mek9Y_xZJWg,GRANDMASTER,,3ncFen2Plkxk5KJT-hFMd15yuUOshbahubuU4UsYm_g_tX3FArZBHZje4dLRsvMZUAh3a4a5xLVsCQ
HezMQgUuakFbgpbi5_BP7E9PDnjW1rAvBM-DOTwDklcFht-EyNAeiNNdvg,GRANDMASTER,,OWzSJX_tZzV8glU7MdZ7GgTTLYu9T4I3gltzuaJzo6JLxytMPLhzEnOlq4jHu6Dez7gz2ay1vCjLfg
1_4UzrearLWzHlakuCobxXY1qVNj0B00ex2Y4mEcKSlddiOEk2vRFaQSyQ,GRANDMASTER,,lfUgBwT3bAmD8Fq9LNNOYDBmh-14OPG2R1splTAjj6XjyXRyFxmqbHOfudBsCTdhkpg9JWKFXlYQ8Q
OMeIdUjEGTgxGQg6-MxcFELkxHXuefgBLk_XnY_Gpqa3itoD1U4bRMFKoA,GRANDMASTER,,TEf2eDrw2Nhj4X3frangYc3aZC5YE-vWrpDuoDvJe0PM6TgALAWI0CYGjJ5C2UdqZymIRCToKaKQcQ
ptbVlChbAfCBv8slO2evNpW4RAaVN2bMp1yym8dML_6gq6rY041urmTaRw,GRANDMASTER,,k7OVmG1b64pdsFpQmRfUq3qvNMibHnppkDkV7uqfSMy2gaPxjwmk1nG8Oipm9XSAgrv_wynGtOnXmg
ge50wWOmfIclm29IoaVZh6ovgv9S31s8fOwugm-b5oqM6LDp6mLT1QoEfw,GRANDMASTER,,vMApf76TZAwN68LeCYerkhycPtAsc6TBCTV5YisRxAtrGjhPNaZqL81bJMoYUfucWTBylNXjzVI3xw
-Nm7tRQKQWZT5TIKpWtyxQ3PUkI6xtPT441dknzCQvWFMGPbJcQvIbpQJw,GRANDMASTER,,WvMUbTZL8HbfIN3UUJVXbpbHJ5SonTw0gWrM0xmbeYtrJCw0ooiCUn6FGAhgEA4Bo7R6z_gVjBoyIA
zIknt69XCkZnz1Wk187p6-DxgMl8K2X6OiFUjLBpH62bwB_gBz7zEl92ow,GRANDMASTER,,QsQvQUdv3VJXRqvBebphD5b0SBjiUu2uGaaO3TBFP6iQTMrWI5C8-sIV4dKKxTH_CgVKajK7OU-PNw
FCh2ktbOrGbNL_Azgoptg0Udbmb5F92jy3TygCMU8WBmmXAcvgSYZOO9wA,GRANDMASTER,,LrRUpT3TwsrcuXs4dhoeXihWl89hLWlMrNjrpwCo1pFeEfiCAni1aW_vvel675TPSSDNBUkBaR927g
Q71kFXCPAQTT8_Bk1rCP9FIcwfXInE8ARQFkwVWAW7walFLuSXLUvi9_TA,GRANDMASTER,,7kLDkUyUyrQvhx-KrkocJrYl0Y5q1EP2dZ-L76j_9nSLNEfMZyPc5ZS7IsUH31b1-Skd6lTIt9Vlsw
6U-DZP5E5VuXvlo-IpAcwyQEnRC54XpqJrhDnoUCxNcsRd-qEbsDR5spVQ,GRANDMASTER,,JgjB3JqLnpVZdIIVj_CtbYdMocXGtlpWSMpkV2QjKgFxCk169993lqwAL2h9IdLkv-VBQhDxPiMH1Q
B8KkVfZ6bpGfrqj0hxLSjUciYVGGG94qr_pho5f8YDsnyaLyIhFVf5-nPw,GRANDMASTER,,w9paDCo1sdYfIJmeTo5HRw52gy6ZjxSo_WE4J-f4vdQP4mc6IhFZDR5l6_uhuPx3HwmpmzeLiAAPWg
VS77TQRjrTdO_OMVlalnCX3OgAQrydZvUMqyyFFjZ1Gz7TRtE2_qd6d2mw,GRANDMASTER,,8WL_nVogZShQqbVytfHyydycFVLMiEwgyXwnwTRuIzgSvZDKC4bQF60BoYJYpu8Lxelk3y_7_VDdLg
Y8U3zCh4xa6IwoF_zvMJDHOrjK5O2iz-d3g7xKZ70q74lRYz-D-vfb_uKg,GRANDMASTER,,cxz43cyynE8cTh-jMenE5xQ9DtxFvZ20hW6E8vZELJ8o9jUUTbCs7rKlTv0lSfTzY3p2vId7TUgyxg
2KM5YU_fqmZMAX58qnYbyqttemxu6uAn1QwzNXHHajvwBF7tswDYJltGWQ,GRANDMASTER,,YUB_ENyZd_JiRArdzBiaw_nC5BV64--_709TSRyJh4UPYdeKrUWLSC0Uy6IprGSYz6s9EwwQbEObxQ
KtmMUc7qWA5n9ECU3w9pXwANJfXsZqQcozd1hn3Dec84RAXA5xHER0r4vg,GRANDMASTER,,dIhJgwSgcqZvgPIGvQasp1qzxTzKWKDSxOUSc4ikHIQXBXpDU0yKx_NTZQcSGaSCz7xiMYIYAZ2YDg
gQxF_OhISv20vvF6zNug5HFxs9W1PXxN-yoKmYhbJw29iAA0z44ZpX0Pbg,GRANDMASTER,,vftbkwmZ88H6_2zQMGMCXF0ym3jt_cquizU_3R363vNVXPtNozVcmgNuHkX7_wcs09orOsTJd9NQOw
BxbVJn8Pa48ZVfHgiHzL462LW7xBAM1F_zR_Rb1Jo8niP-YrvJeTlOYumQ,GRANDMASTER,,s9UvLAomNGykIclYZq5evB9LExN7U7HzamD8JtbYq-jCUhw7UsQbPJlh6NcXBzw-u1WpfHflv3BM3w
fhD35eNWpGASQ-PNp_ACnvTF2q6k-QFOTz_trWhaS9fLzelz-mS_fAkFaQ,GRANDMASTER,,6vzL4aOAnin6GLw4K6OvfKRmM_hxQg_vctephUofDyANZLpCmbIshO0OnHNIRxQPsP7b2B4XSa0OPQ
HO7gwgvsQqSvo4VnFz-K20j_dDMC5beXuGBXq7QxBbQfXuW7HTrTvrsXeA,GRANDMASTER,,lgqRSvEgdx770YoPmmug8CxiJ47KhZ_nmGglD_dteAkTNVgrg4xjnWYsixS9ID5-aMB5RFciXAsm9w
BMM8oa5MB6TsKeEQcRJCuCKEEjZXxf2VFbSav-NF63xywQVT0wMcPU2Xig,GRANDMASTER,,WJNUSzlWmlBq3ADiWr3X1z5dgUeOn5W8Z2xM_CacCjlXSNTK3HaXStg7Gmari3PtRLE0Dt7THy6wDQ
tYRTGEMX82L-tEqWl7MxS2gZDBA0aslcl6kboVjifae7MJb3F8rNnVuGGg,GRANDMASTER,,M9JwIF26wTQC9hX2tqmoseWNQoaRbrTaUBlgdGGeKHGrVzgPdqYHyL1w1Cc3vY62R6IXAtwOiMwbWg
EJie86S1vtdsoRowZ87Tt5CC3Yu2yDdKmuzaBb9Oz_UDEkD4VrsUZhgbMw,GRANDMASTER,,IWT10hjEnb8dJk1n7eRZTyWHoCuxM8SEh5iSM3an8S-1lnZHIXRMtL7jDSJhAPVQLoKfmMzGiBMJrA
HP9WqZygDRKPeq9jq_xIaTQ5KFUQVARysiLbSizfFVMUGQDf8_rjwb-naA,GRANDMASTER,,ysa3jT6cvj7OSKCPBQHGHbcGZJq2ue48YZgM3Ndlgq-qQfvTNZGEJ4xDJkq46acHFfOxnLFdAApIBQ
vIJNN2wmpNzNDSEPibZQQSwinzfjDu4f0kQfiSqta3P3rdMzUrnny2uxtw,GRANDMASTER,,1YudDL2jCeWXeI-2_ULtUSiX2XQAh3AlU-0ZIOhUZN3v_olat0wf5YDQoPN4ipmyHqBy7-WljufiPg
zW183n6YhMmzDsTsGvBlUrBZzZEsrQagxELFbdnz4O602qet3jDRJ-clBw,GRANDMASTER,,mHDVtGiZVMBZW1hvuRKmOG1NED6W2Wd8eXzU-0h9VKD8nP3E_Gs-iZNii4206sKkJjUQuvd4nJfhCA
N21cTMYBqEZied3e6IOeMa7s6IDpN2wZ6Kgih_HQE5H_VGKB4WhJkrsxaQ,GRANDMASTER,,ue0ZI_W0Knu_IOAQtFhHquyHNyerk3hdLyljj7KNnm1CPfoD6vKQyE5hqGVNyx3PetqHCmHr9cHYpQ
pqJOBM_ZKj-rexrKiLFmo4KCMaydlvwQxV0c16QY08H3wUkTIbX9ypV-hQ,GRANDMASTER,,U7q2odxQcF3PGIVBe24oRxXkBQTU-_4jXSpL4qvXUzcEQuTCv-5uXqxb8JfwhBVqzndYk4BiHo1DWg
IOmpm3mipK7ccNbu1qmfYT8jQO__kFK0j89EggcjGhbLWnC2sf9qbeVwgw,GRANDMASTER,,FNjvebHfFw0WQRSVOkJhMSkNqnZLiYXBHbusOsKdQ63jdncaRbAZcHCHEgj6SDYT31HX5RCxgNVBZA
WpCllDnQIXhe-RlH2IRDp895NlwCVGeYPjsZkCMwW_0KyM8v_vr1Cctrfg,GRANDMASTER,,NS7S0YQsjcvWsT3P_fzypR9Qt4wtzdS-0Lt4riaIemCgIF-20dN_73UXjs5Bv2Qu7-CBHawH-RQ9Bg
r5OTCEHBDUnTgX6qZP9M75JIh-bqOOp_3FzmeVobkphg_ZH3rob8jnx2UQ,GRANDMASTER,,ShWVP6Xx6tpHBHgnhfyMZ9tJ3RCJ-jrrJtUP5Wu9woAEw6mEnHSmK1EFbBhSj44IkbZxSkn0bBtvXA
xSKRcUVPvPavH65IfbIllfzGc7FuwAR2FsjKLQfwXiaaSkDb8G-gSGfOcQ,GRANDMASTER,,uJJUtLGC1jXrUKNCebzv9QNZy6pJNAojYAQ_9lLt2JZx5yPn0HsA0EdY1mDhikE6lIbB1F2fvpA9iA
HsbT64BLYUxTLBJUMiTgCY_a6mmj0gpTxiyHnALW0lU4wiGaLCtePwiDwQ,GRANDMASTER,,dIns1tyAHJjJeogQzPusMUGS0bcvqwW4Fi62Dmb2Lz5gBCn_pgtsxRUa3r-V3NvmWA4bOK6Qgsc22w
bVj0QROicS-6kTK_OEKkcIas-MWQ9MBslbHPeFlO8ngSiwkxwG_mfkt7TA,GRANDMASTER,,4n6ETOjQtfr8MvnzD9hE_p6Hb8wo_myvdTXO_AWExYuozHLVKyZC3B_hszji2_SOUEP7Wh2RMWkEhw
VTu7MD1sT5Hx8CUFOipPwuYA-_jIkHEKV7dy5y_j00VDrzs133fOT9ddwg,GRANDMASTER,,wQHS7wxK4sHR5s6k9hW76ppEG6LZ0cU9QgoJvTkiXgblUTNqoKuoE6tgh3zl_P3hIGAmlP4XDyXtmQ
shwc4_5WvBIuz-NWl1dbWZtasf91Ic4mv8f82tSvpHa412-FR5him4nzZA,GRANDMASTER,,PttjyiYObSV2fnASUC1ddvj8HwHE4cY4QHOWNUXGi6sGlEzzUj14T2FjVSaO-L4WVWyvMni7BQ66gg
5F_yct_q3Hl5gFsiAW00bDLjYi2OE7BKYmYU_WoKZ3fmhT5Ph2OVX9GkaQ,GRANDMASTER,,TY0ME2qo9VSn80xZ-EfCzEtjWknCmATU2xmFgzOMgWDEs_F1u51ATfsGvGu3en1mORu80bnLLwEydg
ur2I_xaFWdl-LBgT1ZohNVUmmRRgsoIyleVuJA19DMYqSJhdX7tAVeqI6Q,GRANDMASTER,,q_NipHsZ41c9n0-s109uVALOhJFrrAhCSuvGmC-K11lPHW-KU2ZArZgCAkjqhi02M9-_4X8PWFUcFA
u1CWdeZiU7ZHLiv7dPUcHLnfcNRMGn4QXam-VS5lVXQ9yY-6FvUD8j_NVQ,GRANDMASTER,,g1MyDqNg_XRYVjNtRklHD2aVNrRSfiXxtsNdiAR_LI7mcSiZvx_6fiobNzf5rTrZeHFp6rUX_OPawA
qpoeXZRAdnAEQRKMv4iO3r2ToEJ6cvWnQ0N2BRpaZiMvSz3lH_HyWm8AXw,GRANDMASTER,,TDWMqoBYIVDPJgPDrR9V2d4sz820kTYqpzcwME4dNUye_fjUI8Ad7q0x4fx3fro6KhkhUWgYbcMC6g
69R5isWPCyuXIVmC4bUXDr4mFtby5JUkJmr6xzeaMeAU5RgHlYcWEAD-Gw,GRANDMASTER,,NzZ_VOKh9LHajxNlKBre6UqnZjMyCmocB34x5jl-3bCn0ZKXyv-uR1J2rDoMl1CwJ6yRDvmzEAK-BQ
GYdQmezvXYhPYM8JQi_rFOa0MgsR8XqhVMsV8zVt7UeMXUffcGiYZ3tEvA,GRANDMASTER,,dRMTdhNAIOIedZBqxkfLlt-eqItHNNvaj8uSSb7gkYT-pLPz54BRVnJfrHfPFjW9cmmq7wTD32RZqg
